sample,total_reads,reads_examined,pct_of_total_examined,reads_matched,reads_unmatched,off_target_rate_among_examined
as10-1,567016,285408,50.34,285197,211,0.07
as10-2,322239,177464,55.07,177371,93,0.05
as10-3,412450,201795,48.93,201639,156,0.08
as15-1,538459,311882,57.92,311472,410,0.13
as15-2,347955,230890,66.36,230820,70,0.03
as15-3,517970,318678,61.52,318577,101,0.03
as20-1,277591,152783,55.04,152672,111,0.07
as20-2,554722,340819,61.44,340721,98,0.03
as20-3,341602,188882,55.29,188811,71,0.04
as25-1,394116,181267,45.99,181156,111,0.06
as25-2,389651,235104,60.34,234957,147,0.06
as25-3,548824,265852,48.44,265582,270,0.1
as3-1,493488,139141,28.2,138975,166,0.12
as3-2,686358,109315,15.93,109085,230,0.21
as3-3,516785,190925,36.94,190696,229,0.12
as30-1,46022,329,0.71,321,8,2.43
as30-2,106937,17966,16.8,17950,16,0.09
as30-3,578589,112913,19.52,112357,556,0.49
as7-1,595682,35112,5.89,35000,112,0.32
as7-2,526047,24973,4.75,24892,81,0.32
as7-3,330597,35586,10.76,35557,29,0.08
sd10-1,353017,293426,83.12,293253,173,0.06
sd10-2,305943,250135,81.76,250035,100,0.04
sd10-3,284113,229961,80.94,229592,369,0.16
sd15-1,23625,6996,29.61,6953,43,0.61
sd15-2,417461,343327,82.24,343210,117,0.03
sd15-3,18546,10481,56.51,10424,57,0.54
sd20-1,369844,299036,80.85,298876,160,0.05
sd20-2,600080,503809,83.96,503717,92,0.02
sd20-3,2,0,0,0,0,
sd25-1,350763,284780,81.19,284694,86,0.03
sd25-2,250330,191616,76.55,191554,62,0.03
sd25-3,545623,467052,85.6,466999,53,0.01
sd3-1,471418,345261,73.24,343478,1783,0.52
sd3-2,609913,491505,80.59,490038,1467,0.3
sd3-3,35145,11028,31.38,10994,34,0.31
sd30-1,399786,293755,73.48,293693,62,0.02
sd30-2,316608,213424,67.41,213370,54,0.03
sd30-3,1120,503,44.91,503,0,0
sd7-1,470857,325586,69.15,325389,197,0.06
sd7-2,422535,291978,69.1,291546,432,0.15
sd7-3,376981,264753,70.23,264524,229,0.09
