sample,total_reads
as10-1,567016
as10-2,322239
as10-3,412450
as15-1,538459
as15-2,347955
as15-3,517970
as20-1,277591
as20-2,554722
as20-3,341602
as25-1,394116
as25-2,389651
as25-3,548824
as3-1,493488
as3-2,686358
as3-3,516785
as30-1,46022
as30-2,106937
as30-3,578589
as7-1,595682
as7-2,526047
as7-3,330597
sd10-1,353017
sd10-2,305943
sd10-3,284113
sd15-1,23625
sd15-2,417461
sd15-3,18546
sd20-1,369844
sd20-2,600080
sd20-3,2
sd25-1,350763
sd25-2,250330
sd25-3,545623
sd3-1,471418
sd3-2,609913
sd3-3,35145
sd30-1,399786
sd30-2,316608
sd30-3,1120
sd7-1,470857
sd7-2,422535
sd7-3,376981
