sample,reads_examined,reads_matched,reads_unmatched,off_target_rate_among_examined
as10-1,285408,0,285408,100
as10-2,177464,0,177464,100
as10-3,201795,0,201795,100
as15-1,311882,0,311882,100
as15-2,230890,0,230890,100
as15-3,318678,0,318678,100
as20-1,152783,0,152783,100
as20-2,340819,0,340819,100
as20-3,188882,0,188882,100
as25-1,181267,0,181267,100
as25-2,235104,0,235104,100
as25-3,265852,0,265852,100
as3-1,139141,0,139141,100
as3-2,109315,0,109315,100
as3-3,190925,0,190925,100
as30-1,329,0,329,100
as30-2,17966,0,17966,100
as30-3,112913,0,112913,100
as7-1,35112,0,35112,100
as7-2,24973,0,24973,100
as7-3,35586,0,35586,100
sd10-1,293426,0,293426,100
sd10-2,250135,0,250135,100
sd10-3,229961,0,229961,100
sd15-1,6996,0,6996,100
sd15-2,343327,0,343327,100
sd15-3,10481,0,10481,100
sd20-1,299036,0,299036,100
sd20-2,503809,0,503809,100
sd20-3,0,0,0,
sd25-1,284780,0,284780,100
sd25-2,191616,0,191616,100
sd25-3,467052,0,467052,100
sd3-1,345261,0,345261,100
sd3-2,491505,0,491505,100
sd3-3,11028,0,11028,100
sd30-1,293755,0,293755,100
sd30-2,213424,0,213424,100
sd30-3,503,0,503,100
sd7-1,325586,0,325586,100
sd7-2,291978,0,291978,100
sd7-3,264753,0,264753,100
