qseqid,sample,pair_status,abundance,f_targets,r_targets
M03520:605:000000000-LVNKY:1:2104:20234:14991,as20-3,matched_pair,1,RH.2A8AD21024974C0Z0Z,RH.2A8AD21024974C0Z0Z
M03520:605:000000000-LVNKY:1:1102:27410:11086,as20-1,matched_pair,2,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z
M03520:605:000000000-LVNKY:1:2103:14083:19229,as15-3,matched_pair,2,RH.2A8AD21024974C0Z0Z,RH.2A8AD21024974C0Z0Z
M03520:605:000000000-LVNKY:1:2106:6909:12901,as25-2,matched_pair,1,RH.2A85EAE5DEAD471Z0Z,RH.2A85EAE5DEAD471Z0Z
M03520:605:000000000-LVNKY:1:1113:11520:22873,sd10-2,matched_pair,1,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z
M03520:605:000000000-LVNKY:1:1107:15575:2597,sd7-2,matched_pair,1,RH.0BD19D1A26A74EBZ0Z,RH.0BD19D1A26A74EBZ0Z
M03520:605:000000000-LVNKY:1:2113:15073:11703,as20-3,matched_pair,1,RH.1CC74B91718A42FZ0Z,RH.1CC74B91718A42FZ0Z
M03520:605:000000000-LVNKY:1:1112:5814:24770,sd3-2,matched_pair,1,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z
M03520:605:000000000-LVNKY:1:1107:13520:5493,sd30-1,matched_pair,1,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z
M03520:605:000000000-LVNKY:1:2101:21082:3300,sd25-2,matched_pair,1,RH.27578A9A85FA4A3Z0Z,RH.27578A9A85FA4A3Z0Z
M03520:605:000000000-LVNKY:1:1111:13453:28479,sd15-2,matched_pair,1,RH.7CE39E25906745AZ0Z,RH.7CE39E25906745AZ0Z
M03520:605:000000000-LVNKY:1:2114:18573:20217,sd3-2,matched_pair,1,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z
M03520:605:000000000-LVNKY:1:1109:11047:7221,as20-3,matched_pair,1,RH.8B25A056ABC1444Z0Z,RH.8B25A056ABC1444Z0Z
M03520:605:000000000-LVNKY:1:1107:12212:18063,sd7-3,matched_pair,1,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z
M03520:605:000000000-LVNKY:1:1114:10849:17956,as3-2,matched_pair,1,RH.0C6EF86AB29A422Z0Z,RH.0C6EF86AB29A422Z0Z
M03520:605:000000000-LVNKY:1:1114:24351:11553,sd30-2,matched_pair,1,RH.2AFFFBA0E81C482Z0Z,RH.2AFFFBA0E81C482Z0Z
M03520:605:000000000-LVNKY:1:1110:23142:26235,sd15-2,matched_pair,1,RH.2A8AD21024974C0Z0Z,RH.2A8AD21024974C0Z0Z
M03520:605:000000000-LVNKY:1:2114:14209:26428,sd3-1,matched_pair,1,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z
M03520:605:000000000-LVNKY:1:1110:10199:12118,sd20-2,matched_pair,1,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z
M03520:605:000000000-LVNKY:1:1109:18701:24492,sd15-2,matched_pair,1,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z
M03520:605:000000000-LVNKY:1:1106:18551:19962,sd7-3,matched_pair,1,RH.CA1E204B0C0842DZ0Z; RH.E04EE94198274F7Z0Z,RH.CA1E204B0C0842DZ0Z
M03520:605:000000000-LVNKY:1:1104:16770:7186,sd10-3,matched_pair,2,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z
M03520:605:000000000-LVNKY:1:1105:21574:16517,as15-2,matched_pair,1,RH.0180E4AB5822472Z0Z,RH.0180E4AB5822472Z0Z
M03520:605:000000000-LVNKY:1:2109:26577:21125,as3-1,matched_pair,1,RH.7CE39E25906745AZ0Z,RH.7CE39E25906745AZ0Z
M03520:605:000000000-LVNKY:1:2101:19300:2596,as10-3,matched_pair,2,RH.25F43EF2A0F1421Z0Z,RH.25F43EF2A0F1421Z0Z
M03520:605:000000000-LVNKY:1:2114:7238:11475,sd7-3,matched_pair,2,RH.51338FA06EDB4F0Z0Z,RH.51338FA06EDB4F0Z0Z
M03520:605:000000000-LVNKY:1:2104:7422:8006,sd10-2,matched_pair,1,RH.2A8AD21024974C0Z0Z,RH.2A8AD21024974C0Z0Z
M03520:605:000000000-LVNKY:1:1101:23583:5218,sd10-2,matched_pair,1,RH.27578A9A85FA4A3Z0Z,RH.27578A9A85FA4A3Z0Z
M03520:605:000000000-LVNKY:1:1112:15006:9529,sd20-2,matched_pair,1,RH.2AFFFBA0E81C482Z0Z,RH.2AFFFBA0E81C482Z0Z
M03520:605:000000000-LVNKY:1:2107:26103:11180,sd10-2,matched_pair,1,RH.0550AF0F57084ADZ0Z,RH.0550AF0F57084ADZ0Z
M03520:605:000000000-LVNKY:1:1102:14920:15446,as10-3,matched_pair,1,RH.2A85EAE5DEAD471Z0Z,RH.2A85EAE5DEAD471Z0Z
M03520:605:000000000-LVNKY:1:2112:25741:18460,as25-1,matched_pair,1,RH.E253263309B742FZ0Z,RH.E253263309B742FZ0Z
M03520:605:000000000-LVNKY:1:2109:21980:10858,as3-1,matched_pair,1,RH.8B25A056ABC1444Z0Z,RH.8B25A056ABC1444Z0Z
M03520:605:000000000-LVNKY:1:2101:19414:3189,sd3-1,matched_pair,1,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z
M03520:605:000000000-LVNKY:1:2111:22594:17538,sd10-3,matched_pair,1,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z
M03520:605:000000000-LVNKY:1:1107:4396:17051,sd3-2,matched_pair,1,RH.51338FA06EDB4F0Z0Z,RH.51338FA06EDB4F0Z0Z
M03520:605:000000000-LVNKY:1:1113:11073:2362,as20-1,matched_pair,1,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z
M03520:605:000000000-LVNKY:1:1102:11377:18416,sd3-1,matched_pair,2,RH.27578A9A85FA4A3Z0Z,RH.27578A9A85FA4A3Z0Z
M03520:605:000000000-LVNKY:1:1108:16987:2337,as20-2,matched_pair,1,RH.BB24C5C404164F1Z0Z,RH.BB24C5C404164F1Z0Z
M03520:605:000000000-LVNKY:1:2102:3605:22277,sd15-2,matched_pair,1,RH.0096A141894D447Z0Z,RH.0096A141894D447Z0Z
M03520:605:000000000-LVNKY:1:2104:15521:27199,sd20-2,matched_pair,2,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z
M03520:605:000000000-LVNKY:1:1114:25619:11384,sd30-1,matched_pair,1,RH.E04EE94198274F7Z0Z,RH.E04EE94198274F7Z0Z
M03520:605:000000000-LVNKY:1:1104:15260:6029,as30-3,matched_pair,1,RH.6408CE975B5340AZ0Z,RH.6408CE975B5340AZ0Z
M03520:605:000000000-LVNKY:1:1112:11501:2192,sd25-3,matched_pair,3,RH.2A8AD21024974C0Z0Z,RH.2A8AD21024974C0Z0Z
M03520:605:000000000-LVNKY:1:2107:10542:19847,sd7-1,matched_pair,1,RH.2091F326F74640CZ0Z,RH.2091F326F74640CZ0Z
M03520:605:000000000-LVNKY:1:1113:7046:16607,sd7-1,matched_pair,1,RH.CF953F27F5674E1Z0Z,RH.CF953F27F5674E1Z0Z
M03520:605:000000000-LVNKY:1:1109:18942:22916,as15-3,matched_pair,1,RH.2A85EAE5DEAD471Z0Z,RH.2A85EAE5DEAD471Z0Z
M03520:605:000000000-LVNKY:1:1101:7522:18422,sd10-2,matched_pair,2,RH.517A9FBA2B494D5Z0Z,RH.517A9FBA2B494D5Z0Z
M03520:605:000000000-LVNKY:1:2105:18385:25300,as7-3,matched_pair,1,RH.E04EE94198274F7Z0Z,RH.E04EE94198274F7Z0Z
M03520:605:000000000-LVNKY:1:1103:18768:11341,sd25-3,matched_pair,1,RH.0550AF0F57084ADZ0Z,RH.0550AF0F57084ADZ0Z
M03520:605:000000000-LVNKY:1:1114:14418:27901,as20-2,matched_pair,1,RH.0BD19D1A26A74EBZ0Z,RH.0BD19D1A26A74EBZ0Z
M03520:605:000000000-LVNKY:1:1101:18748:8212,as10-2,matched_pair,1,RH.907BE43FC49F4D0Z0Z,RH.907BE43FC49F4D0Z0Z
M03520:605:000000000-LVNKY:1:1107:12625:11141,sd7-3,matched_pair,1,RH.0096A141894D447Z0Z,RH.0096A141894D447Z0Z
M03520:605:000000000-LVNKY:1:2114:7037:10681,sd15-2,matched_pair,1,RH.CF953F27F5674E1Z0Z,RH.CF953F27F5674E1Z0Z
M03520:605:000000000-LVNKY:1:2109:23736:22435,sd10-1,matched_pair,1,RH.2A8AD21024974C0Z0Z,RH.2A8AD21024974C0Z0Z
M03520:605:000000000-LVNKY:1:2102:7879:5773,sd15-2,matched_pair,1,RH.69CEA0AC39F4445Z0Z,RH.69CEA0AC39F4445Z0Z
M03520:605:000000000-LVNKY:1:1104:21275:27998,sd30-2,matched_pair,1,RH.0BD19D1A26A74EBZ0Z,RH.0BD19D1A26A74EBZ0Z
M03520:605:000000000-LVNKY:1:1107:12202:6505,sd10-1,matched_pair,2,RH.0BD19D1A26A74EBZ0Z,RH.0BD19D1A26A74EBZ0Z
M03520:605:000000000-LVNKY:1:1104:15493:20413,sd25-3,matched_pair,3,RH.0550AF0F57084ADZ0Z,RH.0550AF0F57084ADZ0Z
M03520:605:000000000-LVNKY:1:1104:9899:12063,as30-2,matched_pair,1,RH.51338FA06EDB4F0Z0Z,RH.51338FA06EDB4F0Z0Z
M03520:605:000000000-LVNKY:1:1101:13302:14046,as20-2,matched_pair,1,RH.6408CE975B5340AZ0Z,RH.6408CE975B5340AZ0Z
M03520:605:000000000-LVNKY:1:1109:24783:4685,sd20-1,matched_pair,1,RH.8B25A056ABC1444Z0Z,RH.8B25A056ABC1444Z0Z
M03520:605:000000000-LVNKY:1:1107:12952:22350,sd7-1,matched_pair,2,RH.0BD19D1A26A74EBZ0Z,RH.0BD19D1A26A74EBZ0Z
M03520:605:000000000-LVNKY:1:1112:3921:18750,sd20-2,matched_pair,1,RH.0550AF0F57084ADZ0Z,RH.0550AF0F57084ADZ0Z
M03520:605:000000000-LVNKY:1:2108:7701:18417,as20-2,matched_pair,1,RH.6408CE975B5340AZ0Z,RH.6408CE975B5340AZ0Z
M03520:605:000000000-LVNKY:1:2108:17703:15048,as25-2,matched_pair,1,RH.2FAAAF0B6CBD407Z0Z,RH.2FAAAF0B6CBD407Z0Z
M03520:605:000000000-LVNKY:1:2112:21941:26361,sd20-1,matched_pair,1,RH.7CE39E25906745AZ0Z,RH.7CE39E25906745AZ0Z
M03520:605:000000000-LVNKY:1:2105:29267:17096,as10-2,matched_pair,1,RH.DC4B788FBB14440Z0Z,RH.DC4B788FBB14440Z0Z
M03520:605:000000000-LVNKY:1:2113:19190:15948,as25-2,matched_pair,1,RH.6408CE975B5340AZ0Z,RH.6408CE975B5340AZ0Z
M03520:605:000000000-LVNKY:1:2101:10141:14552,sd10-1,matched_pair,1,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z
M03520:605:000000000-LVNKY:1:1109:26476:23891,sd25-1,matched_pair,1,RH.0550AF0F57084ADZ0Z,RH.0550AF0F57084ADZ0Z
M03520:605:000000000-LVNKY:1:1112:12803:14188,as25-3,matched_pair,1,RH.6408CE975B5340AZ0Z,RH.6408CE975B5340AZ0Z
M03520:605:000000000-LVNKY:1:2113:12083:21318,sd10-1,matched_pair,1,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z
M03520:605:000000000-LVNKY:1:1107:8457:5371,sd7-2,matched_pair,1,RH.51338FA06EDB4F0Z0Z,RH.51338FA06EDB4F0Z0Z
M03520:605:000000000-LVNKY:1:1107:19397:27505,as3-1,matched_pair,1,RH.E253263309B742FZ0Z,RH.E253263309B742FZ0Z
M03520:605:000000000-LVNKY:1:1112:20434:11445,sd3-2,matched_pair,1,RH.0BD19D1A26A74EBZ0Z,RH.0BD19D1A26A74EBZ0Z
M03520:605:000000000-LVNKY:1:2109:11691:12216,sd25-1,matched_pair,1,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z
M03520:605:000000000-LVNKY:1:2109:14104:26939,as3-3,matched_pair,1,RH.78B83B8D6A224B1Z0Z,RH.78B83B8D6A224B1Z0Z
M03520:605:000000000-LVNKY:1:2105:12016:3645,as15-3,matched_pair,1,RH.27578A9A85FA4A3Z0Z,RH.27578A9A85FA4A3Z0Z
M03520:605:000000000-LVNKY:1:1113:16573:23317,as7-3,matched_pair,1,RH.7CE39E25906745AZ0Z,RH.7CE39E25906745AZ0Z
M03520:605:000000000-LVNKY:1:2109:16677:16753,sd25-1,matched_pair,1,RH.27578A9A85FA4A3Z0Z,RH.27578A9A85FA4A3Z0Z
M03520:605:000000000-LVNKY:1:2106:3787:8477,as25-3,matched_pair,1,RH.2A8AD21024974C0Z0Z,RH.2A8AD21024974C0Z0Z
M03520:605:000000000-LVNKY:1:1111:28124:20675,as30-2,matched_pair,1,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z
M03520:605:000000000-LVNKY:1:1103:17998:6283,sd20-2,matched_pair,3,RH.E04EE94198274F7Z0Z,RH.E04EE94198274F7Z0Z
M03520:605:000000000-LVNKY:1:1103:18904:26746,as15-1,matched_pair,1,RH.E253263309B742FZ0Z,RH.E253263309B742FZ0Z
M03520:605:000000000-LVNKY:1:1103:11645:8709,sd25-3,matched_pair,1,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z
M03520:605:000000000-LVNKY:1:1107:17253:20344,sd3-1,matched_pair,1,RH.CA1E204B0C0842DZ0Z,RH.CA1E204B0C0842DZ0Z
M03520:605:000000000-LVNKY:1:2110:6574:23408,as15-1,matched_pair,1,RH.6408CE975B5340AZ0Z,RH.6408CE975B5340AZ0Z
M03520:605:000000000-LVNKY:1:2102:17196:7463,as30-3,matched_pair,1,RH.8B25A056ABC1444Z0Z,RH.8B25A056ABC1444Z0Z
M03520:605:000000000-LVNKY:1:1104:23845:21764,sd20-1,matched_pair,1,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z
M03520:605:000000000-LVNKY:1:1105:10670:28269,sd7-2,matched_pair,1,RH.1CC74B91718A42FZ0Z,RH.1CC74B91718A42FZ0Z
M03520:605:000000000-LVNKY:1:2101:9109:10024,sd25-3,matched_pair,1,RH.0096A141894D447Z0Z,RH.0096A141894D447Z0Z
