qseqid,sample,pair_status,abundance,f_targets,r_targets
M03520:605:000000000-LVNKY:1:1104:22453:7259,sd30-1,F_only,1,RH.DB98783D89B9417Z0Z,""
M03520:605:000000000-LVNKY:1:1103:10838:5318,as25-1,F_only,1,RH.5DA12402580148DZ0Z,""
M03520:605:000000000-LVNKY:1:2102:6389:19138,as15-3,F_only,1,RH.0096A141894D447Z0Z,""
M03520:605:000000000-LVNKY:1:1102:12021:19537,as15-3,F_only,1,RH.6C52B179ABE34FAZ0Z,""
M03520:605:000000000-LVNKY:1:2104:9833:19525,as7-1,F_only,1,RH.3C4181E04665462Z0Z,""
M03520:605:000000000-LVNKY:1:2109:25050:15359,as25-2,F_only,1,RH.5DA12402580148DZ0Z,""
M03520:605:000000000-LVNKY:1:2101:18064:19609,as3-2,F_only,1,RH.2B5DDF63455445EZ0Z,""
M03520:605:000000000-LVNKY:1:1113:4747:7955,as7-1,F_only,1,RH.7E59D32B4EDB4C3Z0Z,""
M03520:605:000000000-LVNKY:1:2103:11288:13211,sd30-2,F_only,1,RH.5DA12402580148DZ0Z,""
M03520:605:000000000-LVNKY:1:1107:15723:19024,as25-1,F_only,1,RH.3C4181E04665462Z0Z,""
M03520:605:000000000-LVNKY:1:1103:3640:11132,as7-1,F_only,1,RH.3C4181E04665462Z0Z,""
M03520:605:000000000-LVNKY:1:1106:16022:22503,as7-1,F_only,1,RH.2B5DDF63455445EZ0Z,""
M03520:605:000000000-LVNKY:1:2114:19574:28352,as7-2,F_only,1,RH.E50C44E6F0174B8Z0Z,""
M03520:605:000000000-LVNKY:1:1109:17411:19538,as30-3,F_only,1,RH.609947B6947F457Z0Z,""
M03520:605:000000000-LVNKY:1:2110:4189:12795,as3-2,F_only,1,RH.5DA12402580148DZ0Z,""
M03520:605:000000000-LVNKY:1:1105:21623:7161,as7-1,F_only,1,RH.23246278E0E74E6Z0Z,""
M03520:605:000000000-LVNKY:1:2106:7830:7044,as20-3,F_only,1,RH.5F6424ABBC3C47BZ0Z,""
M03520:605:000000000-LVNKY:1:1113:24294:24558,sd10-2,F_only,1,RH.FDEF34A308684D6Z0Z,""
