sample,group,count,treatment,dose,replicate
as10-1,Abundant (matches primer),285197,as,10,1
as10-2,Abundant (matches primer),177371,as,10,2
as10-3,Abundant (matches primer),201639,as,10,3
as15-1,Abundant (matches primer),311472,as,15,1
as15-2,Abundant (matches primer),230820,as,15,2
as15-3,Abundant (matches primer),318577,as,15,3
as20-1,Abundant (matches primer),152672,as,20,1
as20-2,Abundant (matches primer),340721,as,20,2
as20-3,Abundant (matches primer),188811,as,20,3
as25-1,Abundant (matches primer),181156,as,25,1
as25-2,Abundant (matches primer),234957,as,25,2
as25-3,Abundant (matches primer),265582,as,25,3
as3-1,Abundant (matches primer),138975,as,3,1
as3-2,Abundant (matches primer),109085,as,3,2
as3-3,Abundant (matches primer),190696,as,3,3
as30-2,Abundant (matches primer),17950,as,30,2
as30-3,Abundant (matches primer),112357,as,30,3
as7-1,Abundant (matches primer),35000,as,7,1
as7-2,Abundant (matches primer),24892,as,7,2
as7-3,Abundant (matches primer),35557,as,7,3
sd10-1,Abundant (matches primer),293253,sd,10,1
sd10-2,Abundant (matches primer),250035,sd,10,2
sd10-3,Abundant (matches primer),229592,sd,10,3
sd15-2,Abundant (matches primer),343210,sd,15,2
sd20-1,Abundant (matches primer),298876,sd,20,1
sd20-2,Abundant (matches primer),503717,sd,20,2
sd25-1,Abundant (matches primer),284694,sd,25,1
sd25-2,Abundant (matches primer),191554,sd,25,2
sd25-3,Abundant (matches primer),466999,sd,25,3
sd3-1,Abundant (matches primer),343478,sd,3,1
sd3-2,Abundant (matches primer),490038,sd,3,2
sd30-1,Abundant (matches primer),293693,sd,30,1
sd30-2,Abundant (matches primer),213370,sd,30,2
sd7-1,Abundant (matches primer),325389,sd,7,1
sd7-2,Abundant (matches primer),291546,sd,7,2
sd7-3,Abundant (matches primer),264524,sd,7,3
as10-1,Abundant (no primer match),211,as,10,1
as10-2,Abundant (no primer match),93,as,10,2
as10-3,Abundant (no primer match),156,as,10,3
as15-1,Abundant (no primer match),410,as,15,1
as15-2,Abundant (no primer match),70,as,15,2
as15-3,Abundant (no primer match),101,as,15,3
as20-1,Abundant (no primer match),111,as,20,1
as20-2,Abundant (no primer match),98,as,20,2
as20-3,Abundant (no primer match),71,as,20,3
as25-1,Abundant (no primer match),111,as,25,1
as25-2,Abundant (no primer match),147,as,25,2
as25-3,Abundant (no primer match),270,as,25,3
as3-1,Abundant (no primer match),166,as,3,1
as3-2,Abundant (no primer match),230,as,3,2
as3-3,Abundant (no primer match),229,as,3,3
as30-2,Abundant (no primer match),16,as,30,2
as30-3,Abundant (no primer match),556,as,30,3
as7-1,Abundant (no primer match),112,as,7,1
as7-2,Abundant (no primer match),81,as,7,2
as7-3,Abundant (no primer match),29,as,7,3
sd10-1,Abundant (no primer match),173,sd,10,1
sd10-2,Abundant (no primer match),100,sd,10,2
sd10-3,Abundant (no primer match),369,sd,10,3
sd15-2,Abundant (no primer match),117,sd,15,2
sd20-1,Abundant (no primer match),160,sd,20,1
sd20-2,Abundant (no primer match),92,sd,20,2
sd25-1,Abundant (no primer match),86,sd,25,1
sd25-2,Abundant (no primer match),62,sd,25,2
sd25-3,Abundant (no primer match),53,sd,25,3
sd3-1,Abundant (no primer match),1783,sd,3,1
sd3-2,Abundant (no primer match),1467,sd,3,2
sd30-1,Abundant (no primer match),62,sd,30,1
sd30-2,Abundant (no primer match),54,sd,30,2
sd7-1,Abundant (no primer match),197,sd,7,1
sd7-2,Abundant (no primer match),432,sd,7,2
sd7-3,Abundant (no primer match),229,sd,7,3
as10-1,Rare: matched pair,25302,as,10,1
as10-2,Rare: matched pair,16758,as,10,2
as10-3,Rare: matched pair,18916,as,10,3
as15-1,Rare: matched pair,25093,as,15,1
as15-2,Rare: matched pair,21665,as,15,2
