target_id,true_source_id,source_agrees
RH.003F79FEC922409Z0Z,A00405_539_HLLNCDSX3_4_1205_13919_19179_1_268_+_c92602dd81b2a7ebb51da66345373262,TRUE
RH.0096A141894D447Z0Z,A00405_539_HLLNCDSX3_4_1256_26341_12446_1_294_+_88ec1e8930915f6fd0f1d06309f6b07b,TRUE
RH.00E4B296DCE74BCZ0Z,A00405_539_HLLNCDSX3_4_1275_11505_13870_1_286_+_2e868f6a0f31b99b34f6f754ceac2b40,TRUE
RH.01448F03BE284B7Z0Z,A00405_539_HLLNCDSX3_4_2405_32633_24940_1_265_-_48fa9366cce168c8a7bc8af1c518213a,TRUE
RH.0180E4AB5822472Z0Z,A00405_539_HLLNCDSX3_4_1317_10113_16720_1_286_-_31d6140e2ec5a727161b80806ba9a666,TRUE
RH.0217D7856D1B4F3Z0Z,A00405_539_HLLNCDSX3_4_1172_6912_5979_1_294_+_72490401ce488a16c0eeef731c6b69e6,TRUE
RH.021A507BE6D04ABZ0Z,A00405_539_HLLNCDSX3_4_1112_28610_2315_1_258_+_38e489ea12b11c0cbbbe4adf8c3038a3,TRUE
RH.02ED2313668747CZ0Z,A00405_539_HLLNCDSX3_4_2235_19388_35133_1_234_-_31288c0e59cfb6a9734edd60496a75ad,FALSE
RH.034C1A4941D644EZ0Z,A00405_539_HLLNCDSX3_4_2560_7057_16438_1_270_+_b40b5520a1a8ce413c8948c8d1b0f1a2,TRUE
RH.04A0205BEA6C49EZ0Z,A00405_539_HLLNCDSX3_4_2434_5791_26678_1_293_+_4935421d650b2f8704a06e4772a37ebd,TRUE
RH.0550AF0F57084ADZ0Z,A00405_539_HLLNCDSX3_4_2375_18032_36793_1_294_+_5a260901400c54ea43f4ad67a663e52d,TRUE
RH.07345E4EB10540DZ0Z,A00405_539_HLLNCDSX3_4_1177_12409_21793_1_294_+_577a69df8e2fd4d39078cf6e6abcfa80,TRUE
RH.07A081D839E34E7Z0Z,A00405_539_HLLNCDSX3_4_2168_32398_16892_1_287_+_4c997fab1c95be3b1789ce6a18d49b68,TRUE
RH.09228C428F4848BZ0Z,A00405_539_HLLNCDSX3_4_2573_9697_12085_1_290_-_60cb3c445276161ef5e03f97005cc8f6,TRUE
RH.094E5466924B45EZ0Z,A00405_539_HLLNCDSX3_4_2254_17888_3975_1_290_+_288544c16fc112942b22763b2578b935,FALSE
