taxid,family,order,class,phylum,full_sciname
1686106,Sphingorhabdaceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,uncultured Sphingorhabdus sp.
2292257,Sphingorhabdaceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,Sphingorhabdus pulchriflava
1902408,Sphingorhabdaceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,Sphingorhabdus sp.
1908224,Sphingopyxidaceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,Sphingopyxis sp.
1445034,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Pseudomonadota,Phenylobacterium kunshanense
75,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Pseudomonadota,Caulobacter
1978525,,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,Sphingomonadales bacterium
3016000,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Pseudomonadota,Caulobacter sp. NIBR1757
1385763,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,Novosphingobium sp. Chol11
1917215,Rhodospirillaceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,Ferrovibrio sp.
378211,Sterolibacteriaceae,Nitrosomonadales,Betaproteobacteria,Pseudomonadota,Methyloversatilis universalis
3133435,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,Novosphingobium aquae
1913988,,,Alphaproteobacteria,Pseudomonadota,Alphaproteobacteria bacterium
77133,,,,,uncultured bacterium
165696,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,Novosphingobium
28214,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,Sphingomonas sp.
349273,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Pseudomonadota,uncultured Phenylobacterium sp.
2835631,,Blastocatellales,Blastocatellia,Acidobacteriota,Blastocatellales bacterium
2283092,Pyrinomonadaceae,Blastocatellales,Blastocatellia,Acidobacteriota,Pyrinomonadaceae bacterium
2448779,,Chitinophagales,Chitinophagia,Bacteroidota,Chitinophagales bacterium
1938756,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,Novosphingobium sp. B1
1934400,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudorhodobacter sp.
82367,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Paracoccus pantotrophus
