qseqid,sample,pair_status,abundance,f_targets,r_targets,f_target_id,r_target_id,expected_sources,read_best_source_id,read_pident,read_length,mismatch,evalue,read_bitscore,qlen,matches_expected,classification
M03520:605:000000000-LVNKY:1:1103:17998:6283,sd20-2,matched_pair,3,RH.E04EE94198274F7Z0Z,RH.E04EE94198274F7Z0Z,RH.E04EE94198274F7Z0Z,RH.E04EE94198274F7Z0Z,A00405_539_HLLNCDSX3_4_2602_21052_24111_1_292_-_bd1b328e4ee7029fea4cbb06536b8f36,A00405_539_HLLNCDSX3_4_2307_13196_28291_1_273_+_08c022a9cdf0c7266ffcd5bb231ae69a,97.351,151,4,3.99e-71,257,151,FALSE,Matches a DIFFERENT target than its own primer(s) -- promiscuity signal
M03520:605:000000000-LVNKY:1:1103:9738:7878,sd20-1,matched_pair,4,RH.8B25A056ABC1444Z0Z,RH.8B25A056ABC1444Z0Z,RH.8B25A056ABC1444Z0Z,RH.8B25A056ABC1444Z0Z,A00405_539_HLLNCDSX3_4_2316_28330_6527_1_279_+_d0519282208358367ba6d805c3abc895,A00405_539_HLLNCDSX3_4_2516_24542_11083_1_284_-_3c21a6cd9e6937764d653129dacfc976,100,146,0,5.13e-75,270,151,FALSE,Matches a DIFFERENT target than its own primer(s) -- promiscuity signal
M03520:605:000000000-LVNKY:1:1114:25619:11384,sd30-1,matched_pair,1,RH.E04EE94198274F7Z0Z,RH.E04EE94198274F7Z0Z,RH.E04EE94198274F7Z0Z,RH.E04EE94198274F7Z0Z,A00405_539_HLLNCDSX3_4_2602_21052_24111_1_292_-_bd1b328e4ee7029fea4cbb06536b8f36,A00405_539_HLLNCDSX3_4_2307_13196_28291_1_273_+_08c022a9cdf0c7266ffcd5bb231ae69a,97.351,151,4,3.99e-71,257,151,FALSE,Matches a DIFFERENT target than its own primer(s) -- promiscuity signal
M03520:605:000000000-LVNKY:1:2105:18385:25300,as7-3,matched_pair,1,RH.E04EE94198274F7Z0Z,RH.E04EE94198274F7Z0Z,RH.E04EE94198274F7Z0Z,RH.E04EE94198274F7Z0Z,A00405_539_HLLNCDSX3_4_2602_21052_24111_1_292_-_bd1b328e4ee7029fea4cbb06536b8f36,A00405_539_HLLNCDSX3_4_2307_13196_28291_1_273_+_08c022a9cdf0c7266ffcd5bb231ae69a,97.351,151,4,3.99e-71,257,151,FALSE,Matches a DIFFERENT target than its own primer(s) -- promiscuity signal
