qseqid,qlen,hit_num,accession,title,sciname,taxid,pident,align_len,evalue,bitscore
A00405_539_HLLNCDSX3_4_1133_19199_19492_1_294_-_f696211bbf33e2824c01aee2ec50bcfe,291,1,WP_004620498,MULTISPECIES: cytochrome P450 [Caulobacter],Caulobacter,75,92.78,97,5.91E-57,192.2
A00405_539_HLLNCDSX3_4_1133_19199_19492_1_294_-_f696211bbf33e2824c01aee2ec50bcfe,291,3,WP_099580669,cytochrome P450 [Caulobacter sp. FWC2],Caulobacter sp. FWC2,69664,90.72,97,2.12E-53,182.956
A00405_539_HLLNCDSX3_4_1133_19199_19492_1_294_-_f696211bbf33e2824c01aee2ec50bcfe,291,4,WP_110120888,MULTISPECIES: cytochrome P450 [unclassified Caulobacter],unclassified Caulobacter,2648921,84.54,97,1.34E-51,178.333
A00405_539_HLLNCDSX3_4_1133_19199_19492_1_294_-_f696211bbf33e2824c01aee2ec50bcfe,291,2,MFT4251556,cytochrome P450 [Caulobacter sp.],Caulobacter sp.,78,83.51,97,4.91E-54,176.407
A00405_539_HLLNCDSX3_4_1133_19199_19492_1_294_-_f696211bbf33e2824c01aee2ec50bcfe,291,7,MBO9706905,cytochrome P450 [Caulobacter sp.],Caulobacter sp.,78,81.44,97,1.02E-48,170.629
A00405_539_HLLNCDSX3_4_1144_21875_1705_1_289_-_2e38050b7207e66297542401e31b9aa3,285,2,WP_111277238,cytochrome P450 [Phenylobacterium kunshanense],Phenylobacterium kunshanense,1445034,95.79,95,2.13E-57,192.586
A00405_539_HLLNCDSX3_4_1144_21875_1705_1_289_-_2e38050b7207e66297542401e31b9aa3,285,3,MFL5296530,cytochrome P450 [Phenylobacterium sp.],Phenylobacterium sp.,1871053,94.74,95,1.26E-56,190.66
A00405_539_HLLNCDSX3_4_1144_21875_1705_1_289_-_2e38050b7207e66297542401e31b9aa3,285,5,WP_331589806,cytochrome P450 [Phenylobacterium sp.],Phenylobacterium sp.,1871053,92.63,95,7.84E-56,188.734
A00405_539_HLLNCDSX3_4_1144_21875_1705_1_289_-_2e38050b7207e66297542401e31b9aa3,285,1,MBS0331248,cytochrome P450 [Pseudomonadota bacterium],Pseudomonadota bacterium,1977087,91.58,95,8.58E-58,186.037
A00405_539_HLLNCDSX3_4_1144_21875_1705_1_289_-_2e38050b7207e66297542401e31b9aa3,285,8,MFI4951035,cytochrome P450 [Caulobacterales bacterium],Caulobacterales bacterium,2282150,91.58,95,8.05E-55,186.037
A00405_539_HLLNCDSX3_4_1147_15890_2895_1_210_-_65794de933ee2d8b0548b89e6f037740,207,1,TXI04457,MAG: cytochrome P450 [Pseudorhodobacter sp.],Pseudorhodobacter sp.,1934400,100,69,2.39E-38,141.354
A00405_539_HLLNCDSX3_4_1147_15890_2895_1_210_-_65794de933ee2d8b0548b89e6f037740,207,2,WP_238986863,cytochrome P450 [Paracoccus sp. MKU1],Paracoccus sp. MKU1,1745182,88.41,69,4.23E-32,125.176
A00405_539_HLLNCDSX3_4_1147_15890_2895_1_210_-_65794de933ee2d8b0548b89e6f037740,207,4,WP_190418103,cytochrome P450 [Pseudomonas typographi],Pseudomonas typographi,2715964,79.71,69,5.51E-30,120.553
A00405_539_HLLNCDSX3_4_1147_15890_2895_1_210_-_65794de933ee2d8b0548b89e6f037740,207,3,WP_424067828,cytochrome P450 [Paraburkholderia sp.],Paraburkholderia sp.,1926495,82.61,69,2.51E-30,120.168
A00405_539_HLLNCDSX3_4_1147_15890_2895_1_210_-_65794de933ee2d8b0548b89e6f037740,207,6,WP_143488894,cytochrome P450 [Pseudomonas mangiferae],Pseudomonas mangiferae,2593654,81.16,69,1.11E-29,119.398
A00405_539_HLLNCDSX3_4_1149_18701_36605_1_292_-_4a407c9c3375a6ad5003bdd88d91a484,291,1,WP_295529727,cytochrome P450 [Novosphingobium sp. Chol11],Novosphingobium sp. Chol11,1385763,87.63,97,4.17E-56,189.889
A00405_539_HLLNCDSX3_4_1149_18701_36605_1_292_-_4a407c9c3375a6ad5003bdd88d91a484,291,2,WP_336446923,MULTISPECIES: cytochrome P450 [unclassified Sphingopyxis],unclassified Sphingopyxis,2614943,87.63,97,7.03E-55,186.037
A00405_539_HLLNCDSX3_4_1149_18701_36605_1_292_-_4a407c9c3375a6ad5003bdd88d91a484,291,3,WP_136957709,cytochrome P450 [Novosphingobium sp. EMRT-2],Novosphingobium sp. EMRT-2,2571749,84.54,97,3.23E-54,184.496
A00405_539_HLLNCDSX3_4_1149_18701_36605_1_292_-_4a407c9c3375a6ad5003bdd88d91a484,291,4,WP_481865660,cytochrome P450 [Sphingorhabdus sp.],Sphingorhabdus sp.,1902408,82.47,97,2.30E-53,182.57
A00405_539_HLLNCDSX3_4_1149_18701_36605_1_292_-_4a407c9c3375a6ad5003bdd88d91a484,291,5,MBJ7253459,cytochrome P450 [Sphingomonadaceae bacterium],Sphingomonadaceae bacterium,1930536,82.47,97,2.41E-52,179.489
A00405_539_HLLNCDSX3_4_1154_13485_33489_5_274_-_d073362756742bb4412cb50ca2f1f2c4,264,1,WP_008060652,cytochrome P450 [Methyloversatilis universalis],Methyloversatilis universalis,378211,98.86,88,1.12E-53,182.185
A00405_539_HLLNCDSX3_4_1154_13485_33489_5_274_-_d073362756742bb4412cb50ca2f1f2c4,264,3,WP_029143622,cytochrome P450 [Methyloversatilis discipulorum],Methyloversatilis discipulorum,1119528,71.59,88,2.68E-33,129.028
A00405_539_HLLNCDSX3_4_1154_13485_33489_5_274_-_d073362756742bb4412cb50ca2f1f2c4,264,2,MFZ5456240,cytochrome P450 [Pseudomonadota bacterium],Pseudomonadota bacterium,1977087,70.45,88,3.72E-34,127.102
A00405_539_HLLNCDSX3_4_1154_13485_33489_5_274_-_d073362756742bb4412cb50ca2f1f2c4,264,5,MBU0603929,cytochrome P450 [Gammaproteobacteria bacterium],Gammaproteobacteria bacterium,1913989,61.25,80,1.59E-24,105.916
A00405_539_HLLNCDSX3_4_1154_13485_33489_5_274_-_d073362756742bb4412cb50ca2f1f2c4,264,4,HMA33409,cytochrome P450 [Chloroflexia bacterium],Chloroflexia bacterium,2448782,59.49,79,6.81E-25,100.908
A00405_539_HLLNCDSX3_4_1239_8956_26584_1_215_+_5f74270a96d85094cc3112e09a3d186a,210,1,WP_084277342,cytochrome P450 [Novosphingobium sp. B1],Novosphingobium sp. B1,1938756,100,70,2.25E-38,141.739
A00405_539_HLLNCDSX3_4_1239_8956_26584_1_215_+_5f74270a96d85094cc3112e09a3d186a,210,2,WP_371388748,MULTISPECIES: cytochrome P450 [unclassified Sphingobium],unclassified Sphingobium,2611147,72.86,70,1.40E-26,110.538
A00405_539_HLLNCDSX3_4_1239_8956_26584_1_215_+_5f74270a96d85094cc3112e09a3d186a,210,3,KFL46286,putative cytochrome P450 [Sphingobium sp. ba1],Sphingobium sp. ba1,1522072,74.63,67,5.92E-26,108.227
A00405_539_HLLNCDSX3_4_1239_8956_26584_1_215_+_5f74270a96d85094cc3112e09a3d186a,210,4,WP_190287357,cytochrome P450 [Novosphingobium sp. LASN5T],Novosphingobium sp. LASN5T,2491021,78.12,64,3.24E-25,107.071
A00405_539_HLLNCDSX3_4_1239_8956_26584_1_215_+_5f74270a96d85094cc3112e09a3d186a,210,5,WP_150756975,cytochrome P450 [Pseudomonas fluorescens],Pseudomonas fluorescens,294,75.76,66,2.01E-20,93.9745
A00405_539_HLLNCDSX3_4_1256_26341_12446_1_294_+_88ec1e8930915f6fd0f1d06309f6b07b,291,1,MID1952695,cytochrome P450 [Sphingomonadales bacterium],Sphingomonadales bacterium,1978525,98.97,97,1.14E-58,191.815
A00405_539_HLLNCDSX3_4_1256_26341_12446_1_294_+_88ec1e8930915f6fd0f1d06309f6b07b,291,2,WP_374614872,cytochrome P450 [Sphingorhabdus sp.],Sphingorhabdus sp.,1902408,98.97,97,5.06E-57,191.815
