qseqid,qlen,hit_num,accession,title,sciname,taxid,pident,align_len,evalue,bitscore,is_known_caulobacter_source
A00405_539_HLLNCDSX3_4_2428_6090_14794_1_294_-_80eeeb5dde92ef47ef076603c990b2f7,291,1,WP_298602577,"cytochrome P450, partial [uncultured Sphingorhabdus sp.]",uncultured Sphingorhabdus sp.,1686106,97.94,97,7.21834e-63,204.142,FALSE
A00405_539_HLLNCDSX3_4_1434_17553_6433_1_291_+_7a051464df892a132e7368b8e9d3c73a,288,1,WP_115547866,cytochrome P450 [Sphingorhabdus pulchriflava],Sphingorhabdus pulchriflava,2292257,100,96,1.99034e-61,202.216,FALSE
A00405_539_HLLNCDSX3_4_2316_28330_6527_1_279_+_d0519282208358367ba6d805c3abc895,276,2,WP_298603505,cytochrome P450 [uncultured Sphingorhabdus sp.],uncultured Sphingorhabdus sp.,1686106,100,92,1.7485e-60,201.06,FALSE
A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7,291,1,WP_298602577,"cytochrome P450, partial [uncultured Sphingorhabdus sp.]",uncultured Sphingorhabdus sp.,1686106,97.94,97,2.20148e-60,197.978,FALSE
A00405_539_HLLNCDSX3_4_2236_24614_29841_1_293_+_04ca48409a1ee33b09ee3f0431a9bece,291,1,MBP6380673,cytochrome P450 [Sphingorhabdus sp.],Sphingorhabdus sp.,1902408,98.97,97,3.0704e-60,197.208,FALSE
A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c,291,1,WP_115547792,cytochrome P450 [Sphingorhabdus pulchriflava],Sphingorhabdus pulchriflava,2292257,98.97,97,2.53812e-59,197.208,FALSE
A00405_539_HLLNCDSX3_4_1412_10022_10770_1_291_+_16759ee50eb37c248e99815d17ac3c88,288,1,WP_115548167,cytochrome P450 [Sphingorhabdus pulchriflava],Sphingorhabdus pulchriflava,2292257,100,96,1.37224e-58,195.667,FALSE
A00405_539_HLLNCDSX3_4_2108_20952_22122_1_292_+_981ebd79aebe6e1123d76ddb6bd4d3cf,291,1,WP_422060752,cytochrome P450 [Sphingopyxis sp.],Sphingopyxis sp.,1908224,97.94,97,1.56737e-58,194.897,FALSE
A00405_539_HLLNCDSX3_4_2170_22381_8938_1_289_-_5eaf02e2ec49222f3f23b439151ed5af,285,1,WP_298603505,cytochrome P450 [uncultured Sphingorhabdus sp.],uncultured Sphingorhabdus sp.,1686106,95.79,95,2.98179e-57,192.971,FALSE
A00405_539_HLLNCDSX3_4_1144_21875_1705_1_289_-_2e38050b7207e66297542401e31b9aa3,285,2,WP_111277238,cytochrome P450 [Phenylobacterium kunshanense],Phenylobacterium kunshanense,1445034,95.79,95,2.12751e-57,192.586,TRUE
A00405_539_HLLNCDSX3_4_1133_19199_19492_1_294_-_f696211bbf33e2824c01aee2ec50bcfe,291,1,WP_004620498,MULTISPECIES: cytochrome P450 [Caulobacter],Caulobacter,75,92.78,97,5.91341e-57,192.2,TRUE
A00405_539_HLLNCDSX3_4_1256_26341_12446_1_294_+_88ec1e8930915f6fd0f1d06309f6b07b,291,1,MID1952695,cytochrome P450 [Sphingomonadales bacterium],Sphingomonadales bacterium,1978525,98.97,97,1.13624e-58,191.815,FALSE
A00405_539_HLLNCDSX3_4_2434_5791_26678_1_293_+_4935421d650b2f8704a06e4772a37ebd,291,1,WP_271067205,cytochrome P450 [Caulobacter sp. NIBR1757],Caulobacter sp. NIBR1757,3016000,92.78,97,1.36063e-56,190.66,TRUE
A00405_539_HLLNCDSX3_4_1149_18701_36605_1_292_-_4a407c9c3375a6ad5003bdd88d91a484,291,1,WP_295529727,cytochrome P450 [Novosphingobium sp. Chol11],Novosphingobium sp. Chol11,1385763,87.63,97,4.16945e-56,189.889,FALSE
