qseqid,sseqid,pident,length,mismatch,qstart,qend,sstart,send,evalue,bitscore,target_id,orientation
M03520:605:000000000-LVNKY:1:1104:16984:24718,RH.228524764FCE499Z0Z_F,100,24,0,1,24,1,24,4.65e-09,48.1,RH.228524764FCE499Z0Z,F
M03520:605:000000000-LVNKY:1:1104:24606:20194,RH.C597F0BA65D4481Z0Z_R,100,24,0,21,44,24,1,4.65e-09,48.1,RH.C597F0BA65D4481Z0Z,R
M03520:605:000000000-LVNKY:1:1102:20083:9794,RH.B3BF5B8B809244BZ0Z_R,100,23,0,14,36,23,1,1.84e-08,46.1,RH.B3BF5B8B809244BZ0Z,R
M03520:605:000000000-LVNKY:1:1105:9301:7785,RH.B3BF5B8B809244BZ0Z_R,100,23,0,14,36,23,1,1.84e-08,46.1,RH.B3BF5B8B809244BZ0Z,R
M03520:605:000000000-LVNKY:1:1109:12470:12384,RH.17B3832C9C1D403Z0Z_F,100,23,0,1,23,1,23,1.84e-08,46.1,RH.17B3832C9C1D403Z0Z,F
M03520:605:000000000-LVNKY:1:1110:6112:19827,RH.17B3832C9C1D403Z0Z_F,100,23,0,1,23,1,23,1.84e-08,46.1,RH.17B3832C9C1D403Z0Z,F
M03520:605:000000000-LVNKY:1:1111:14295:4957,RH.B3BF5B8B809244BZ0Z_R,100,23,0,14,36,23,1,1.84e-08,46.1,RH.B3BF5B8B809244BZ0Z,R
M03520:605:000000000-LVNKY:1:1111:17434:6715,RH.B3BF5B8B809244BZ0Z_R,100,23,0,14,36,23,1,1.84e-08,46.1,RH.B3BF5B8B809244BZ0Z,R
M03520:605:000000000-LVNKY:1:1102:12716:24787,RH.094E5466924B45EZ0Z_F,100,22,0,1,22,1,22,7.27e-08,44.1,RH.094E5466924B45EZ0Z,F
M03520:605:000000000-LVNKY:1:1102:18246:16368,RH.3B2B2BB86AB94D3Z0Z_F,100,22,0,1,22,1,22,7.27e-08,44.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1103:14425:5713,RH.3B2B2BB86AB94D3Z0Z_F,100,22,0,1,22,1,22,7.27e-08,44.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1105:9931:3694,RH.2467895ACA8347EZ0Z_F,100,22,0,1,22,1,22,7.27e-08,44.1,RH.2467895ACA8347EZ0Z,F
M03520:605:000000000-LVNKY:1:2109:13244:13547,RH.3B2B2BB86AB94D3Z0Z_F,100,22,0,1,22,1,22,7.27e-08,44.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1101:19243:8951,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1101:20740:4669,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1101:22592:5346,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1101:6992:22058,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1102:20815:14016,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1102:9856:6788,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1103:23201:19656,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1104:24626:17866,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1105:14254:11514,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1105:19658:7070,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1105:19789:26235,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1105:6026:19138,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1106:14542:5169,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
M03520:605:000000000-LVNKY:1:1106:17202:18355,RH.3B2B2BB86AB94D3Z0Z_F,100,21,0,1,21,1,21,2.87e-07,42.1,RH.3B2B2BB86AB94D3Z0Z,F
