target_id,sseqid,qseqid_F,pident_F,length_F,mismatch_F,gapopen_F,qstart_F,qend_F,sstart_F,send_F,evalue_F,bitscore_F,orientation_F,strand_F,pos_min_F,pos_max_F,qseqid_R,pident_R,length_R,mismatch_R,gapopen_R,qstart_R,qend_R,sstart_R,send_R,evalue_R,bitscore_R,orientation_R,strand_R,pos_min_R,pos_max_R,amplicon_dist
RH.0217D7856D1B4F3Z0Z,AE005673.1,RH.0217D7856D1B4F3Z0Z_F,100,18,0,0,2,19,3215779,3215796,0.018,36.2,F,+,3215779,3215796,RH.0217D7856D1B4F3Z0Z_R,95.652,23,1,0,1,23,3215910,3215888,0.005,38.2,R,-,3215888,3215910,92
RH.0217D7856D1B4F3Z0Z,CP001340.1,RH.0217D7856D1B4F3Z0Z_F,100,18,0,0,2,19,3241764,3241781,0.018,36.2,F,+,3241764,3241781,RH.0217D7856D1B4F3Z0Z_R,95.652,23,1,0,1,23,3241895,3241873,0.005,38.2,R,-,3241873,3241895,92
RH.0217D7856D1B4F3Z0Z,CP002008.1,RH.0217D7856D1B4F3Z0Z_F,100,22,0,0,1,22,3820901,3820922,7.59e-05,44.1,F,+,3820901,3820922,RH.0217D7856D1B4F3Z0Z_R,95.652,23,1,0,1,23,3821033,3821011,0.005,38.2,R,-,3821011,3821033,89
RH.0217D7856D1B4F3Z0Z,CP023314.2,RH.0217D7856D1B4F3Z0Z_F,100,18,0,0,2,19,3336129,3336146,0.018,36.2,F,+,3336129,3336146,RH.0217D7856D1B4F3Z0Z_R,95.652,23,1,0,1,23,3336260,3336238,0.005,38.2,R,-,3336238,3336260,92
RH.0217D7856D1B4F3Z0Z,CP023315.3,RH.0217D7856D1B4F3Z0Z_F,100,18,0,0,2,19,3193942,3193959,0.018,36.2,F,+,3193942,3193959,RH.0217D7856D1B4F3Z0Z_R,95.652,23,1,0,1,23,3194073,3194051,0.005,38.2,R,-,3194051,3194073,92
RH.0217D7856D1B4F3Z0Z,CP027850.1,RH.0217D7856D1B4F3Z0Z_F,100,22,0,0,1,22,3820730,3820751,7.59e-05,44.1,F,+,3820730,3820751,RH.0217D7856D1B4F3Z0Z_R,95.652,23,1,0,1,23,3820862,3820840,0.005,38.2,R,-,3820840,3820862,89
RH.0217D7856D1B4F3Z0Z,CP079926.1,RH.0217D7856D1B4F3Z0Z_F,100,18,0,0,2,19,3258919,3258936,0.018,36.2,F,+,3258919,3258936,RH.0217D7856D1B4F3Z0Z_R,95.652,23,1,0,1,23,3259050,3259028,0.005,38.2,R,-,3259028,3259050,92
RH.0217D7856D1B4F3Z0Z,CP082923.1,RH.0217D7856D1B4F3Z0Z_F,100,21,0,0,2,22,4030218,4030238,3e-04,42.1,F,+,4030218,4030238,RH.0217D7856D1B4F3Z0Z_R,90.909,22,2,0,2,23,4030348,4030327,5.2,28.2,R,-,4030327,4030348,89
RH.0217D7856D1B4F3Z0Z,CP096040.1,RH.0217D7856D1B4F3Z0Z_F,100,20,0,0,3,22,4490198,4490217,0.001,40.1,F,+,4490198,4490217,RH.0217D7856D1B4F3Z0Z_R,95.455,22,1,0,2,23,4490327,4490306,0.021,36.2,R,-,4490306,4490327,89
RH.0217D7856D1B4F3Z0Z,NC_011916.1,RH.0217D7856D1B4F3Z0Z_F,100,18,0,0,2,19,3241764,3241781,0.018,36.2,F,+,3241764,3241781,RH.0217D7856D1B4F3Z0Z_R,95.652,23,1,0,1,23,3241895,3241873,0.005,38.2,R,-,3241873,3241895,92
RH.0217D7856D1B4F3Z0Z,NZ_CP023314.2,RH.0217D7856D1B4F3Z0Z_F,100,18,0,0,2,19,3336129,3336146,0.018,36.2,F,+,3336129,3336146,RH.0217D7856D1B4F3Z0Z_R,95.652,23,1,0,1,23,3336260,3336238,0.005,38.2,R,-,3336238,3336260,92
RH.0217D7856D1B4F3Z0Z,NZ_CP023315.3,RH.0217D7856D1B4F3Z0Z_F,100,18,0,0,2,19,3193942,3193959,0.018,36.2,F,+,3193942,3193959,RH.0217D7856D1B4F3Z0Z_R,95.652,23,1,0,1,23,3194073,3194051,0.005,38.2,R,-,3194051,3194073,92
RH.0217D7856D1B4F3Z0Z,NZ_CP027850.1,RH.0217D7856D1B4F3Z0Z_F,100,22,0,0,1,22,3820730,3820751,7.59e-05,44.1,F,+,3820730,3820751,RH.0217D7856D1B4F3Z0Z_R,95.652,23,1,0,1,23,3820862,3820840,0.005,38.2,R,-,3820840,3820862,89
RH.0217D7856D1B4F3Z0Z,NZ_CP079926.1,RH.0217D7856D1B4F3Z0Z_F,100,18,0,0,2,19,3258919,3258936,0.018,36.2,F,+,3258919,3258936,RH.0217D7856D1B4F3Z0Z_R,95.652,23,1,0,1,23,3259050,3259028,0.005,38.2,R,-,3259028,3259050,92
RH.0217D7856D1B4F3Z0Z,NZ_CP082923.1,RH.0217D7856D1B4F3Z0Z_F,100,21,0,0,2,22,4030218,4030238,3e-04,42.1,F,+,4030218,4030238,RH.0217D7856D1B4F3Z0Z_R,90.909,22,2,0,2,23,4030348,4030327,5.2,28.2,R,-,4030327,4030348,89
RH.0217D7856D1B4F3Z0Z,NZ_CP096040.1,RH.0217D7856D1B4F3Z0Z_F,100,20,0,0,3,22,4490198,4490217,0.001,40.1,F,+,4490198,4490217,RH.0217D7856D1B4F3Z0Z_R,95.455,22,1,0,2,23,4490327,4490306,0.021,36.2,R,-,4490306,4490327,89
RH.0C6EF86AB29A422Z0Z,CP002008.1,RH.0C6EF86AB29A422Z0Z_F,100,23,0,0,1,23,3671087,3671065,2.19e-05,46.1,F,-,3671065,3671087,RH.0C6EF86AB29A422Z0Z_R,95.652,23,1,0,1,23,3670970,3670992,0.005,38.2,R,+,3670970,3670992,73
RH.0C6EF86AB29A422Z0Z,CP013002.1,RH.0C6EF86AB29A422Z0Z_F,100,23,0,0,1,23,2754743,2754721,2.19e-05,46.1,F,-,2754721,2754743,RH.0C6EF86AB29A422Z0Z_R,95.652,23,1,0,1,23,2754626,2754648,0.005,38.2,R,+,2754626,2754648,73
RH.0C6EF86AB29A422Z0Z,CP026100.1,RH.0C6EF86AB29A422Z0Z_F,100,23,0,0,1,23,2758452,2758474,2.19e-05,46.1,F,+,2758452,2758474,RH.0C6EF86AB29A422Z0Z_R,95.652,23,1,0,1,23,2758569,2758547,0.005,38.2,R,-,2758547,2758569,73
RH.0C6EF86AB29A422Z0Z,CP027850.1,RH.0C6EF86AB29A422Z0Z_F,100,23,0,0,1,23,3670920,3670898,2.19e-05,46.1,F,-,3670898,3670920,RH.0C6EF86AB29A422Z0Z_R,95.652,23,1,0,1,23,3670803,3670825,0.005,38.2,R,+,3670803,3670825,73
RH.0C6EF86AB29A422Z0Z,CP115463.1,RH.0C6EF86AB29A422Z0Z_F,100,22,0,0,2,23,3256675,3256654,8.67e-05,44.1,F,-,3256654,3256675,RH.0C6EF86AB29A422Z0Z_R,95.455,22,1,0,2,23,3256560,3256581,0.021,36.2,R,+,3256560,3256581,73
RH.0C6EF86AB29A422Z0Z,CP171994.1,RH.0C6EF86AB29A422Z0Z_F,100,23,0,0,1,23,2681904,2681926,2.19e-05,46.1,F,+,2681904,2681926,RH.0C6EF86AB29A422Z0Z_R,100,23,0,0,1,23,2682021,2681999,2.19e-05,46.1,R,-,2681999,2682021,73
RH.0C6EF86AB29A422Z0Z,CP183329.1,RH.0C6EF86AB29A422Z0Z_F,95.652,23,1,0,1,23,735440,735462,0.005,38.2,F,+,735440,735462,RH.0C6EF86AB29A422Z0Z_R,95.652,23,1,0,1,23,735557,735535,0.005,38.2,R,-,735535,735557,73
RH.0C6EF86AB29A422Z0Z,CP183332.1,RH.0C6EF86AB29A422Z0Z_F,95.652,23,1,0,1,23,807565,807587,0.005,38.2,F,+,807565,807587,RH.0C6EF86AB29A422Z0Z_R,95.652,23,1,0,1,23,807682,807660,0.005,38.2,R,-,807660,807682,73
RH.0C6EF86AB29A422Z0Z,NZ_CP013002.1,RH.0C6EF86AB29A422Z0Z_F,100,23,0,0,1,23,2754743,2754721,2.19e-05,46.1,F,-,2754721,2754743,RH.0C6EF86AB29A422Z0Z_R,95.652,23,1,0,1,23,2754626,2754648,0.005,38.2,R,+,2754626,2754648,73
RH.0C6EF86AB29A422Z0Z,NZ_CP026100.1,RH.0C6EF86AB29A422Z0Z_F,100,23,0,0,1,23,2758452,2758474,2.19e-05,46.1,F,+,2758452,2758474,RH.0C6EF86AB29A422Z0Z_R,95.652,23,1,0,1,23,2758569,2758547,0.005,38.2,R,-,2758547,2758569,73
RH.0C6EF86AB29A422Z0Z,NZ_CP027850.1,RH.0C6EF86AB29A422Z0Z_F,100,23,0,0,1,23,3670920,3670898,2.19e-05,46.1,F,-,3670898,3670920,RH.0C6EF86AB29A422Z0Z_R,95.652,23,1,0,1,23,3670803,3670825,0.005,38.2,R,+,3670803,3670825,73
RH.0C6EF86AB29A422Z0Z,NZ_CP115463.1,RH.0C6EF86AB29A422Z0Z_F,100,22,0,0,2,23,3256675,3256654,8.67e-05,44.1,F,-,3256654,3256675,RH.0C6EF86AB29A422Z0Z_R,95.455,22,1,0,2,23,3256560,3256581,0.021,36.2,R,+,3256560,3256581,73
RH.0C6EF86AB29A422Z0Z,NZ_CP171994.1,RH.0C6EF86AB29A422Z0Z_F,100,23,0,0,1,23,2681904,2681926,2.19e-05,46.1,F,+,2681904,2681926,RH.0C6EF86AB29A422Z0Z_R,100,23,0,0,1,23,2682021,2681999,2.19e-05,46.1,R,-,2681999,2682021,73
RH.0C6EF86AB29A422Z0Z,NZ_CP183329.1,RH.0C6EF86AB29A422Z0Z_F,95.652,23,1,0,1,23,735440,735462,0.005,38.2,F,+,735440,735462,RH.0C6EF86AB29A422Z0Z_R,95.652,23,1,0,1,23,735557,735535,0.005,38.2,R,-,735535,735557,73
RH.0C6EF86AB29A422Z0Z,NZ_CP183332.1,RH.0C6EF86AB29A422Z0Z_F,95.652,23,1,0,1,23,807565,807587,0.005,38.2,F,+,807565,807587,RH.0C6EF86AB29A422Z0Z_R,95.652,23,1,0,1,23,807682,807660,0.005,38.2,R,-,807660,807682,73
RH.1178978C1B124F7Z0Z,CP115463.1,RH.1178978C1B124F7Z0Z_F,95,20,1,0,1,20,3890916,3890897,0.25,32.2,F,-,3890897,3890916,RH.1178978C1B124F7Z0Z_R,90.476,21,2,0,1,21,3890617,3890637,18,26.3,R,+,3890617,3890637,260
RH.1178978C1B124F7Z0Z,NZ_CP115463.1,RH.1178978C1B124F7Z0Z_F,95,20,1,0,1,20,3890916,3890897,0.25,32.2,F,-,3890897,3890916,RH.1178978C1B124F7Z0Z_R,90.476,21,2,0,1,21,3890617,3890637,18,26.3,R,+,3890617,3890637,260
RH.1ED162FCE898487Z0Z,CP171994.1,RH.1ED162FCE898487Z0Z_F,100,26,0,0,1,26,338100,338075,4.45e-07,52,F,-,338075,338100,RH.1ED162FCE898487Z0Z_R,96,25,1,0,1,25,337942,337966,0.000385,42.1,R,+,337942,337966,109
RH.1ED162FCE898487Z0Z,NZ_CP171994.1,RH.1ED162FCE898487Z0Z_F,100,26,0,0,1,26,338100,338075,4.45e-07,52,F,-,338075,338100,RH.1ED162FCE898487Z0Z_R,96,25,1,0,1,25,337942,337966,0.000385,42.1,R,+,337942,337966,109
RH.300DF134D97F45BZ0Z,AE005673.1,RH.300DF134D97F45BZ0Z_F,95,20,1,0,1,20,2704272,2704291,0.33,32.2,F,+,2704272,2704291,RH.300DF134D97F45BZ0Z_R,95.652,23,1,0,1,23,2704425,2704403,0.005,38.2,R,-,2704403,2704425,112
RH.300DF134D97F45BZ0Z,CP001340.1,RH.300DF134D97F45BZ0Z_F,95,20,1,0,1,20,2730254,2730273,0.33,32.2,F,+,2730254,2730273,RH.300DF134D97F45BZ0Z_R,95.652,23,1,0,1,23,2730407,2730385,0.005,38.2,R,-,2730385,2730407,112
