qseqid,abundance,best_target_source_id,target_pident,target_length,target_bitscore,matched_primers,matched_primer_targets,n_primers_matched
M03520:605:000000000-LVNKY:1:1101:14501:1781,746222,A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7,100,149,276,RH.B9EF730EBE6C436Z0Z_R; RH.B9EF730EBE6C436Z0Z_F,RH.B9EF730EBE6C436Z0Z,2
M03520:605:000000000-LVNKY:1:1101:15605:1563,394145,A00405_539_HLLNCDSX3_4_1418_8196_3505_1_290_-_1bf831b7d5cca66c11b01477482cf05f,100,148,274,RH.6408CE975B5340AZ0Z_R; RH.6408CE975B5340AZ0Z_F,RH.6408CE975B5340AZ0Z,2
M03520:605:000000000-LVNKY:1:1101:17736:1491,388038,A00405_539_HLLNCDSX3_4_1406_19262_13119_1_287_+_7e2b216f62b2af90b0db370fe85efc1c,100,125,231,RH.7CE39E25906745AZ0Z_R; RH.7CE39E25906745AZ0Z_F,RH.7CE39E25906745AZ0Z,2
M03520:605:000000000-LVNKY:1:1101:22450:27542,382594,A00405_539_HLLNCDSX3_4_2375_18032_36793_1_294_+_5a260901400c54ea43f4ad67a663e52d,100,136,252,RH.0550AF0F57084ADZ0Z_F; RH.0550AF0F57084ADZ0Z_R,RH.0550AF0F57084ADZ0Z,2
M03520:605:000000000-LVNKY:1:1101:15475:1678,266170,A00405_539_HLLNCDSX3_4_2413_23728_18349_1_294_+_5c8cf276bfb8a016a1079c51251bc7d6,100,151,279,RH.27578A9A85FA4A3Z0Z_F; RH.27578A9A85FA4A3Z0Z_R,RH.27578A9A85FA4A3Z0Z,2
M03520:605:000000000-LVNKY:1:1101:13858:1566,248514,A00405_539_HLLNCDSX3_4_1667_3577_14481_1_279_+_5c2b589f92cd328dd27be08801c4b747,100,140,259,RH.E253263309B742FZ0Z_R; RH.E253263309B742FZ0Z_F,RH.E253263309B742FZ0Z,2
M03520:605:000000000-LVNKY:1:1101:18268:18829,219021,A00405_539_HLLNCDSX3_4_1154_13485_33489_5_274_-_d073362756742bb4412cb50ca2f1f2c4,100,122,226,RH.85A5303CAAF54ADZ0Z_R; RH.85A5303CAAF54ADZ0Z_F,RH.85A5303CAAF54ADZ0Z,2
M03520:605:000000000-LVNKY:1:1101:8030:4248,204265,A00405_539_HLLNCDSX3_4_1256_26341_12446_1_294_+_88ec1e8930915f6fd0f1d06309f6b07b,100,151,279,RH.0096A141894D447Z0Z_F; RH.0096A141894D447Z0Z_R,RH.0096A141894D447Z0Z,2
M03520:605:000000000-LVNKY:1:1110:16098:2160,191223,A00405_539_HLLNCDSX3_4_1402_30318_9439_1_266_-_252b574501f4a55884860c129baf3fba,100,131,243,RH.69CEA0AC39F4445Z0Z_F; RH.69CEA0AC39F4445Z0Z_R,RH.69CEA0AC39F4445Z0Z,2
M03520:605:000000000-LVNKY:1:1101:9739:2849,165361,A00405_539_HLLNCDSX3_4_1406_19262_13119_1_287_+_7e2b216f62b2af90b0db370fe85efc1c,97.6,125,215,RH.7CE39E25906745AZ0Z_R; RH.7CE39E25906745AZ0Z_F,RH.7CE39E25906745AZ0Z,2
M03520:605:000000000-LVNKY:1:2101:16193:15438,159305,A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,96.552,116,193,RH.DDB83AFF97C94C6Z0Z_R; RH.DDB83AFF97C94C6Z0Z_F,RH.DDB83AFF97C94C6Z0Z,2
M03520:605:000000000-LVNKY:1:1101:12013:2133,150928,A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,96.552,116,193,RH.DDB83AFF97C94C6Z0Z_R; RH.DDB83AFF97C94C6Z0Z_F,RH.DDB83AFF97C94C6Z0Z,2
M03520:605:000000000-LVNKY:1:1101:20183:2290,129644,A00405_539_HLLNCDSX3_4_1451_30409_6715_1_231_+_018312b314ec0e3d7060fd278ef283f4,100,122,226,RH.2A85EAE5DEAD471Z0Z_R; RH.2A85EAE5DEAD471Z0Z_F,RH.2A85EAE5DEAD471Z0Z,2
M03520:605:000000000-LVNKY:1:1101:15292:1581,115303,A00405_539_HLLNCDSX3_4_1256_26341_12446_1_294_+_88ec1e8930915f6fd0f1d06309f6b07b,96.689,151,252,RH.0096A141894D447Z0Z_F; RH.0096A141894D447Z0Z_R,RH.0096A141894D447Z0Z,2
M03520:605:000000000-LVNKY:1:1101:18374:1821,114025,A00405_539_HLLNCDSX3_4_1334_11930_16266_1_258_+_048a394d3695a8abb0c425f7d9b7201d,100,122,226,RH.2A8AD21024974C0Z0Z_F; RH.2A8AD21024974C0Z0Z_R,RH.2A8AD21024974C0Z0Z,2
M03520:605:000000000-LVNKY:1:1101:13104:2724,112891,A00405_539_HLLNCDSX3_4_1334_11930_16266_1_258_+_048a394d3695a8abb0c425f7d9b7201d,99.18,122,220,RH.2A8AD21024974C0Z0Z_F; RH.2A8AD21024974C0Z0Z_R,RH.2A8AD21024974C0Z0Z,2
M03520:605:000000000-LVNKY:1:1101:14183:1517,82388,A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,100,116,215,RH.DDB83AFF97C94C6Z0Z_R; RH.DDB83AFF97C94C6Z0Z_F,RH.DDB83AFF97C94C6Z0Z,2
M03520:605:000000000-LVNKY:1:1101:21019:6484,77450,A00405_539_HLLNCDSX3_4_1434_17553_6433_1_291_+_7a051464df892a132e7368b8e9d3c73a,100,128,237,RH.1CC74B91718A42FZ0Z_R; RH.1CC74B91718A42FZ0Z_F,RH.1CC74B91718A42FZ0Z,2
M03520:605:000000000-LVNKY:1:1101:20276:2368,76588,A00405_539_HLLNCDSX3_4_2307_13196_28291_1_273_+_08c022a9cdf0c7266ffcd5bb231ae69a,98.013,151,263,RH.E04EE94198274F7Z0Z_F; RH.E04EE94198274F7Z0Z_R,RH.E04EE94198274F7Z0Z,2
M03520:605:000000000-LVNKY:1:1102:19160:16356,73155,A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,100,116,215,RH.DDB83AFF97C94C6Z0Z_R; RH.DDB83AFF97C94C6Z0Z_F,RH.DDB83AFF97C94C6Z0Z,2
M03520:605:000000000-LVNKY:1:1101:14586:1467,71906,A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,96.552,116,193,RH.DDB83AFF97C94C6Z0Z_R; RH.DDB83AFF97C94C6Z0Z_F,RH.DDB83AFF97C94C6Z0Z,2
M03520:605:000000000-LVNKY:1:1101:18386:2440,66788,A00405_539_HLLNCDSX3_4_2316_28330_6527_1_279_+_d0519282208358367ba6d805c3abc895,100,147,272,RH.8B25A056ABC1444Z0Z_F; RH.8B25A056ABC1444Z0Z_R,RH.8B25A056ABC1444Z0Z,2
M03520:605:000000000-LVNKY:1:1101:13108:3503,61718,A00405_539_HLLNCDSX3_4_2539_10592_7811_10_293_-_001b4ede20b5ef9e875d65d6ece253c1,100,138,255,RH.DE543226C201437Z0Z_R; RH.51338FA06EDB4F0Z0Z_R,RH.DE543226C201437Z0Z; RH.51338FA06EDB4F0Z0Z,2
M03520:605:000000000-LVNKY:1:1101:13344:1738,61417,A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,100,116,215,RH.DDB83AFF97C94C6Z0Z_R; RH.DDB83AFF97C94C6Z0Z_F,RH.DDB83AFF97C94C6Z0Z,2
M03520:605:000000000-LVNKY:1:1101:16772:18325,54633,A00405_539_HLLNCDSX3_4_2516_24542_11083_1_284_-_3c21a6cd9e6937764d653129dacfc976,97.241,145,248,RH.DDB83AFF97C94C6Z0Z_R; RH.8B25A056ABC1444Z0Z_F,RH.DDB83AFF97C94C6Z0Z; RH.8B25A056ABC1444Z0Z,2
M03520:605:000000000-LVNKY:1:1101:12004:2251,52209,A00405_539_HLLNCDSX3_4_2602_21052_24111_1_292_-_bd1b328e4ee7029fea4cbb06536b8f36,100,120,222,RH.CA1E204B0C0842DZ0Z_F; RH.CA1E204B0C0842DZ0Z_R,RH.CA1E204B0C0842DZ0Z,2
M03520:605:000000000-LVNKY:1:1101:11036:8018,51017,A00405_539_HLLNCDSX3_4_2516_24542_11083_1_284_-_3c21a6cd9e6937764d653129dacfc976,100,146,270,RH.8B25A056ABC1444Z0Z_R; RH.8B25A056ABC1444Z0Z_F,RH.8B25A056ABC1444Z0Z,2
M03520:605:000000000-LVNKY:1:2112:12532:20183,46323,A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c,100,109,202,RH.0BD19D1A26A74EBZ0Z_F; RH.0BD19D1A26A74EBZ0Z_R,RH.0BD19D1A26A74EBZ0Z,2
