qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,positive_pct,qframe,sframe
A00405_539_HLLNCDSX3_4_2428_6090_14794_1_294_-_80eeeb5dde92ef47ef076603c990b2f7,WP_298602577.1,97.938,97,2,0,1,291,194,290,7.22E-63,204,100,1,0
A00405_539_HLLNCDSX3_4_1434_17553_6433_1_291_+_7a051464df892a132e7368b8e9d3c73a,WP_115547866.1,100,96,0,0,1,288,258,353,1.99E-61,202,100,1,0
A00405_539_HLLNCDSX3_4_2316_28330_6527_1_279_+_d0519282208358367ba6d805c3abc895,WP_298603505.1,100,92,0,0,1,276,359,450,1.75E-60,201,100,1,0
A00405_539_HLLNCDSX3_4_2236_24614_29841_1_293_+_04ca48409a1ee33b09ee3f0431a9bece,MBP6380673.1,98.969,97,1,0,1,291,125,221,3.07E-60,197,100,1,0
A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c,WP_115547792.1,98.969,97,1,0,1,291,240,336,2.54E-59,197,98.97,1,0
A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7,WP_298602577.1,97.938,97,2,0,1,291,1,97,2.20E-60,197,100,1,0
A00405_539_HLLNCDSX3_4_1412_10022_10770_1_291_+_16759ee50eb37c248e99815d17ac3c88,WP_115548167.1,100,96,0,0,1,288,208,303,1.37E-58,195,100,1,0
A00405_539_HLLNCDSX3_4_2108_20952_22122_1_292_+_981ebd79aebe6e1123d76ddb6bd4d3cf,WP_422060752.1,97.938,97,2,0,1,291,176,272,1.57E-58,194,98.97,1,0
A00405_539_HLLNCDSX3_4_2170_22381_8938_1_289_-_5eaf02e2ec49222f3f23b439151ed5af,WP_298603505.1,95.789,95,4,0,1,285,242,336,2.98E-57,192,100,1,0
A00405_539_HLLNCDSX3_4_1144_21875_1705_1_289_-_2e38050b7207e66297542401e31b9aa3,WP_111277238.1,95.789,95,4,0,1,285,257,351,2.13E-57,192,98.95,1,0
A00405_539_HLLNCDSX3_4_1133_19199_19492_1_294_-_f696211bbf33e2824c01aee2ec50bcfe,WP_004620498.1,92.784,97,7,0,1,291,300,396,5.91E-57,192,95.88,1,0
A00405_539_HLLNCDSX3_4_1256_26341_12446_1_294_+_88ec1e8930915f6fd0f1d06309f6b07b,MID1952695.1,98.969,97,1,0,1,291,89,185,1.14E-58,191,98.97,1,0
A00405_539_HLLNCDSX3_4_2434_5791_26678_1_293_+_4935421d650b2f8704a06e4772a37ebd,WP_271067205.1,92.784,97,7,0,1,291,169,265,1.36E-56,190,96.91,1,0
A00405_539_HLLNCDSX3_4_1149_18701_36605_1_292_-_4a407c9c3375a6ad5003bdd88d91a484,WP_295529727.1,87.629,97,12,0,1,291,302,398,4.17E-56,189,93.81,1,0
A00405_539_HLLNCDSX3_4_1667_3577_14481_1_279_+_5c2b589f92cd328dd27be08801c4b747,WP_409762215.1,96.739,92,3,0,1,276,42,133,1.31E-55,188,98.91,1,0
