qseqid,abundance,best_target_source_id,any_primer_source_agrees,matched_target_ids,matched_true_sources
M03520:605:000000000-LVNKY:1:1101:14501:1781,746222,A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7,TRUE,RH.B9EF730EBE6C436Z0Z,A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7
M03520:605:000000000-LVNKY:1:1101:15605:1563,394145,A00405_539_HLLNCDSX3_4_1418_8196_3505_1_290_-_1bf831b7d5cca66c11b01477482cf05f,TRUE,RH.6408CE975B5340AZ0Z,A00405_539_HLLNCDSX3_4_1418_8196_3505_1_290_-_1bf831b7d5cca66c11b01477482cf05f
M03520:605:000000000-LVNKY:1:1101:17736:1491,388038,A00405_539_HLLNCDSX3_4_1406_19262_13119_1_287_+_7e2b216f62b2af90b0db370fe85efc1c,TRUE,RH.7CE39E25906745AZ0Z,A00405_539_HLLNCDSX3_4_1406_19262_13119_1_287_+_7e2b216f62b2af90b0db370fe85efc1c
M03520:605:000000000-LVNKY:1:1101:22450:27542,382594,A00405_539_HLLNCDSX3_4_2375_18032_36793_1_294_+_5a260901400c54ea43f4ad67a663e52d,TRUE,RH.0550AF0F57084ADZ0Z,A00405_539_HLLNCDSX3_4_2375_18032_36793_1_294_+_5a260901400c54ea43f4ad67a663e52d
M03520:605:000000000-LVNKY:1:1101:15475:1678,266170,A00405_539_HLLNCDSX3_4_2413_23728_18349_1_294_+_5c8cf276bfb8a016a1079c51251bc7d6,TRUE,RH.27578A9A85FA4A3Z0Z,A00405_539_HLLNCDSX3_4_2413_23728_18349_1_294_+_5c8cf276bfb8a016a1079c51251bc7d6
M03520:605:000000000-LVNKY:1:1101:13858:1566,248514,A00405_539_HLLNCDSX3_4_1667_3577_14481_1_279_+_5c2b589f92cd328dd27be08801c4b747,TRUE,RH.E253263309B742FZ0Z,A00405_539_HLLNCDSX3_4_1667_3577_14481_1_279_+_5c2b589f92cd328dd27be08801c4b747
M03520:605:000000000-LVNKY:1:1101:18268:18829,219021,A00405_539_HLLNCDSX3_4_1154_13485_33489_5_274_-_d073362756742bb4412cb50ca2f1f2c4,TRUE,RH.85A5303CAAF54ADZ0Z,A00405_539_HLLNCDSX3_4_1154_13485_33489_5_274_-_d073362756742bb4412cb50ca2f1f2c4
M03520:605:000000000-LVNKY:1:1101:8030:4248,204265,A00405_539_HLLNCDSX3_4_1256_26341_12446_1_294_+_88ec1e8930915f6fd0f1d06309f6b07b,TRUE,RH.0096A141894D447Z0Z,A00405_539_HLLNCDSX3_4_1256_26341_12446_1_294_+_88ec1e8930915f6fd0f1d06309f6b07b
M03520:605:000000000-LVNKY:1:1110:16098:2160,191223,A00405_539_HLLNCDSX3_4_1402_30318_9439_1_266_-_252b574501f4a55884860c129baf3fba,TRUE,RH.69CEA0AC39F4445Z0Z,A00405_539_HLLNCDSX3_4_1402_30318_9439_1_266_-_252b574501f4a55884860c129baf3fba
M03520:605:000000000-LVNKY:1:1101:9739:2849,165361,A00405_539_HLLNCDSX3_4_1406_19262_13119_1_287_+_7e2b216f62b2af90b0db370fe85efc1c,TRUE,RH.7CE39E25906745AZ0Z,A00405_539_HLLNCDSX3_4_1406_19262_13119_1_287_+_7e2b216f62b2af90b0db370fe85efc1c
M03520:605:000000000-LVNKY:1:2101:16193:15438,159305,A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,TRUE,RH.DDB83AFF97C94C6Z0Z,A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139
M03520:605:000000000-LVNKY:1:1101:12013:2133,150928,A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139,TRUE,RH.DDB83AFF97C94C6Z0Z,A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139
