qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,positive_pct,qframe,sframe
A00405_539_HLLNCDSX3_4_1133_19199_19492_1_294_-_f696211bbf33e2824c01aee2ec50bcfe,WP_004620498.1,92.784,97,7,0,1,291,300,396,5.91e-57,192,95.88,1,0
A00405_539_HLLNCDSX3_4_1133_19199_19492_1_294_-_f696211bbf33e2824c01aee2ec50bcfe,WP_099580669.1,90.722,97,9,0,1,291,300,396,2.12e-53,182,92.78,1,0
A00405_539_HLLNCDSX3_4_1133_19199_19492_1_294_-_f696211bbf33e2824c01aee2ec50bcfe,WP_110120888.1,84.536,97,15,0,1,291,300,396,1.34e-51,178,93.81,1,0
A00405_539_HLLNCDSX3_4_1133_19199_19492_1_294_-_f696211bbf33e2824c01aee2ec50bcfe,MFT4251556.1,83.505,97,16,0,1,291,27,123,4.91e-54,176,92.78,1,0
A00405_539_HLLNCDSX3_4_1133_19199_19492_1_294_-_f696211bbf33e2824c01aee2ec50bcfe,WP_143755219.1,81.443,97,18,0,1,291,143,239,3.77e-50,170,87.63,1,0
A00405_539_HLLNCDSX3_4_1144_21875_1705_1_289_-_2e38050b7207e66297542401e31b9aa3,WP_111277238.1,95.789,95,4,0,1,285,257,351,2.13e-57,192,98.95,1,0
A00405_539_HLLNCDSX3_4_1144_21875_1705_1_289_-_2e38050b7207e66297542401e31b9aa3,MFL5296530.1,94.737,95,5,0,1,285,261,355,1.26e-56,190,96.84,1,0
A00405_539_HLLNCDSX3_4_1144_21875_1705_1_289_-_2e38050b7207e66297542401e31b9aa3,WP_331589806.1,92.632,95,7,0,1,285,261,355,7.84e-56,188,96.84,1,0
A00405_539_HLLNCDSX3_4_1144_21875_1705_1_289_-_2e38050b7207e66297542401e31b9aa3,MBS0331248.1,91.579,95,8,0,1,285,21,115,8.58e-58,186,95.79,1,0
A00405_539_HLLNCDSX3_4_1144_21875_1705_1_289_-_2e38050b7207e66297542401e31b9aa3,MFI4951035.1,91.579,95,8,0,1,285,260,354,8.05e-55,186,96.84,1,0
A00405_539_HLLNCDSX3_4_1147_15890_2895_1_210_-_65794de933ee2d8b0548b89e6f037740,TXI04457.1,100,69,0,0,1,207,244,312,2.39e-38,141,100,1,0
A00405_539_HLLNCDSX3_4_1147_15890_2895_1_210_-_65794de933ee2d8b0548b89e6f037740,WP_238986863.1,88.406,69,8,0,1,207,266,334,4.23e-32,125,94.2,1,0
A00405_539_HLLNCDSX3_4_1147_15890_2895_1_210_-_65794de933ee2d8b0548b89e6f037740,WP_424067828.1,82.609,69,12,0,1,207,256,324,2.51e-30,120,91.3,1,0
A00405_539_HLLNCDSX3_4_1147_15890_2895_1_210_-_65794de933ee2d8b0548b89e6f037740,WP_190418103.1,79.71,69,14,0,1,207,256,324,5.51e-30,120,91.3,1,0
A00405_539_HLLNCDSX3_4_1147_15890_2895_1_210_-_65794de933ee2d8b0548b89e6f037740,WP_143488894.1,81.159,69,13,0,1,207,257,325,1.11e-29,119,91.3,1,0
A00405_539_HLLNCDSX3_4_1149_18701_36605_1_292_-_4a407c9c3375a6ad5003bdd88d91a484,WP_295529727.1,87.629,97,12,0,1,291,302,398,4.17e-56,189,93.81,1,0
